Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
DSP Nifty Midcap 150 Quality 50 ETF,Anil Ghelani,EQ-ETF,3,97.7,0.3,Open Ended,23-Dec-21,NIFTY Midcap150 Quality 50 - TRI,251.26,266.01,200.94,-0.19,-6.14,-0.65,19.81,24.44,12.13,5.81,17.25,42,50,51216,6.94,75.05,17.97,Technology,3.14,1.91,7.06,11.72,1.05,1.64,0.8,14.78,Equity : ETFs,0.25% on or before 28D Nil after 28D
DSP Nifty Midcap 150 Quality 50 Index Fund-Reg(G),Anil Ghelani,EQ-INDX,1,363.9,0.87,Open Ended,04-Aug-22,NIFTY Midcap150 Quality 50 - TRI,14.69,15.58,11.81,-0.26,-6.29,-0.99,19,23.65,11.11,20.44,7.37,46,50,51217,6.94,75.03,17.97,Technology,3.71,4.46,6.91,11.04,1.01,1.58,0.8,14.9,Equity : Index Funds,Nil
DSP NIFTY Next 50 Index Fund-Reg(G),Anil Ghelani,EQ-INDX,3,902.9,0.53,Open Ended,21-Feb-19,NIFTY NEXT 50 - TRI,26.6,29.99,20.57,-3.64,-11.81,-5.6,27.41,27.78,17.93,19.26,11.86,49,50,143043,88.16,11.75,26.49,Financials,0.3,0.01,7.09,16.98,1.13,1.64,1.14,20.14,Equity : Index Funds,Nil
DSP Nifty Private Bank ETF,Anil Ghelani,EQ-ETF,1,236.3,0.15,Open Ended,27-Jul-23,Nifty Private Bank - TRI,25.45,27.48,22.58,-1.74,-5.98,-4.82,0.74,13.04,6.28,8.32,3.95,106,10,417377,83.3,13.6,3.08,Financials,14.57,0.46,6.88,-7.01,-0.12,-0.18,1.04,17.05,Equity : ETFs,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
DSP Nifty PSU Bank ETF,Anil Ghelani,EQ-ETF,3,53,0.45,Open Ended,27-Jul-23,NIFTY PSU BANK - TRI,66.03,80.14,56.52,-3.96,-3.3,-10.62,14.1,34.02,21.36,4.9,8.51,163,12,188009,62.21,37.78,9.78,Financials,0.42,4.47,7.37,7.36,0.49,0.71,1.49,29.8,Equity : ETFs,Nil for 10% of investments and 1% for remaining on or before 12M Nil after 12M
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund-Reg(G),Shantanu Godambe,DT-M&LD,5,2222.4,0.32,Open Ended,21-Mar-22,Nifty SDL Plus G-Sec Jun 2028 70:30 Index,11.87,11.87,10.99,0.49,1.39,4.05,8.04,7.8,13.79,6.61,8.1,0,31,226190,45.59,12.88,24.97,Financials,3.07,2.63,6.92,2.65,4.48,9.48,0.4,0.86,Debt : Medium to Long Duration,Nil
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund-Reg(G),Shantanu Godambe,DT-M&LD,2,92.4,0.41,Open Ended,14-Feb-23,Nifty SDL Plus G-Sec Sep 2027 50:50 Index,11.54,11.54,10.68,0.54,1.43,3.9,8.06,16.05,13.61,16.12,9.4,0,50,155749,70.97,75.04,19.52,Financials,2.59,2.27,6.94,2.87,4.98,10.92,0.33,0.77,Debt : Medium to Long Duration,Nil
DSP Nifty Smallcap250 Quality 50 Index Fund-Reg(G),Anil Ghelani,EQ-INDX,2,178.1,1,Open Ended,26-Dec-23,Nifty Smallcap250 Quality 50 - TRI,12.84,13.72,9.5,-0.55,-5.04,3.72,25.66,22.17,16.79,20.63,14.24,59,50,19113,17.32,13.12,86.71,Technology,2.63,0.83,7.45,17.21,1.07,1.6,0.96,20.64,Equity : Index Funds,Nil
DSP Nifty Top 10 Equal Weight ETF,Anil Ghelani,EQ-ETF,2,244,0.15,Open Ended,05-Sep-24,Nifty Top 10 Equal Weight - TRI,94.97,100.17,91.54,-1.56,-4.6,2.47,15.2,6.58,14.52,13.76,5.34,10,10,797400,99.99,5.6,29.13,Financials,20.38,0.98,7.64,5.67,1.27,18.97,0.99,3.06,Equity : ETFs,Nil
DSP Nifty Top 10 Equal Weight Index Fund-Reg(G),Anil Ghelani,EQ-INDX,1,1037.2,1,Open Ended,05-Sep-24,Nifty Top 10 Equal Weight - TRI,9.75,10.31,9.41,-1.65,-4.86,-10.1,7.17,7.42,19.29,19.81,10.76,11,10,797401,100.05,19.49,1.66,Financials,0.11,0.75,8.16,4.33,11.09,1.62,0.4,0.32,Equity : Index Funds,Nil
DSP Overnight Fund-Reg(G),Karan Mundhra,DT-ON,5,2333.8,0.14,Open Ended,09-Jan-19,CRISIL Liquid Overnight Index,1340.3,1340.3,1257.05,0.55,1.61,3.24,6.64,6.63,5.97,4.88,11.93,0,20,68890,71.01,1.25,86.71,Energy,0.01,0.01,6.68,1.18,8.59,11.25,-0.09,0.14,Debt : Overnight,Nil
DSP Quant Fund-Reg(G),Aparna Karnik,EQ-THEM,5,1066.1,1.27,Open Ended,10-Jun-19,BSE 200 - TRI,21.45,23.45,18.55,-1.51,-8.99,0.61,10.44,16.01,7.58,14.58,7.04,47,48,223121,77.84,22.29,58.16,Financials,0.39,3.87,6.96,2.75,0.56,0.92,0.78,12.01,Equity : Thematic,Nil
DSP Regular Savings Fund-Reg(G),Abhishek Singh,HY-DT(CO),2,180.3,1.11,Open Ended,11-Jun-04,CRISIL Hybrid 85+15 - Conservative Index,56.36,56.44,50.5,0.18,-0.27,4.15,10.95,11.67,8.92,8.71,7.04,0,30,218440,17.47,0.96,3.5,Financials,3.07,2.48,7.08,4.81,2.04,3.24,0.68,3.36,Hybrid : Debt Oriented (Conservative),Nil
DSP Savings Fund-Reg(G),Karan Mundhra,DT-MM,3,4210.9,0.47,Open Ended,30-Sep-99,CRISIL Money Market Index,50.77,50.77,47.29,0.61,1.71,3.54,7.37,7.26,6.16,5.55,6.27,0,49,374558,20.51,22.39,84.81,Healthcare,0.61,0.56,7.47,3.15,10.15,20.82,0.04,0.32,Debt : Money Market,Nil
DSP Short Term Fund-Reg(G),Karan Mundhra,DT-SD,3,2848.1,0.96,Open Ended,09-Sep-02,CRISIL Short Duration Debt Index,44.62,44.62,41.45,0.52,1.51,3.99,7.63,7.12,5.73,5.85,6.69,0,50,95148,61.8,12.31,45.11,Financials,3.98,2.81,7.49,2.52,5.46,11.29,0.32,0.64,Debt : Short Duration,Nil
DSP Silver ETF,Ravi Gehani,GOLD-ETF,1,284.2,0.5,Open Ended,19-Aug-22,Silver,85.26,96.51,68.22,-3.79,-4.53,-2.21,15.82,10.12,5.39,13.35,13.48,33,32,199226,86.46,3.23,24.28,Healthcare,0.08,0.42,7.45,11.84,0.61,1.04,0.71,22.82,Gold : ETFs,Nil
DSP Small Cap Fund-Reg(G),Vinit Sambre,EQ-SML,3,16307.3,1.71,Open Ended,14-Jun-07,BSE 250 Small Cap - TRI,203.42,207.45,149.65,2.35,-0.9,8.12,25.62,33.43,21.6,30.03,18.52,24,74,9431,62.63,3.13,90.72,FMCG,2.39,0.32,7.49,17.67,1.29,1.93,0.71,16.51,Equity : Small Cap,1% before 12M Nil on or after 12M
DSP Strategic Bond Fund-Reg(G),Sandeep Yadav,DT-DYN,5,1927.3,1.19,Open Ended,09-May-07,CRISIL Dynamic Bond Index,3246.75,3262.75,2944.45,0.25,-0.05,3.79,9.99,8.83,6.36,6.62,7.18,0,102,76845,14.89,12.31,6.88,Financials,31.71,11.6,7.16,1.26,2.06,3.48,1.44,2.7,Debt : Dynamic Bond,Nil
DSP Top 100 Equity Fund-Reg(G),Abhishek Singh,EQ-LC,1,4530,1.94,Open Ended,10-Mar-03,BSE 100 - TRI,459.37,486.27,369.36,-1.22,-6.05,2.84,20.73,24.57,16.45,15,11.15,39,32,329504,80.59,2.91,6.01,Financials,6.12,0.85,7.39,11.77,1.27,1.97,0.85,12.63,Equity : Large Cap,1% before 12M Nil on or after 12M
DSP Ultra Short Fund-Reg(G),Shalini Vasanta,DT-USD,2,3062,1.01,Open Ended,31-Jul-06,CRISIL Ultra Short Term Debt Index,3284.68,3284.68,3072.58,0.57,1.64,3.36,6.91,6.8,5.9,5.04,5.89,0,59,216358,96.99,7.89,92.96,Financials,0.46,0.42,7.47,2.72,9.94,20.05,0.03,0.28,Debt : Ultra Short Duration,Nil
DSP US Flexible Equity FoF-Reg(G),Jay Kothari,FOF-OVR,3,853.1,2.34,Open Ended,03-Aug-12,Russell 1000 Index,57.42,58.7,47.87,1.61,3.72,5.42,17.75,19.81,10.55,15.51,12.92,6,32,555827,69.01,3.91,21.86,Financials,23.46,0.51,6.71,12.12,1.07,1.63,0.92,13.87,FoFs : Overseas,Nil
DSP US Treasury FoF-Reg(G),Jay Kothari,FOF-OVR,4,60.3,0.26,Open Ended,18-Mar-24,S&P US Treasury Bond Index,10.56,10.81,9.86,-0.1,-1.38,3.72,28.42,17.5,-0.11,4.27,7.16,16,21,156218,51.91,15.4,19.59,Technology,1.21,0.01,7.66,-1.26,2.75,1.8,1.32,0.57,FoFs : Overseas,0.10% before 7D Nil on or after 7D
DSP Value Fund-Reg(G),Aparna Karnik,EQ-VAL,4,910.4,1.7,Open Ended,10-Dec-20,NIFTY 500 - TRI,20.67,21.68,17.08,-0.74,-4.78,5.4,20.53,7.47,15.23,15.38,5.81,107,57,138929,43.68,6.75,15.25,Healthcare,3.17,0.42,7.02,16.83,1.76,2.94,0.56,10.31,Equity : Value / Contra,1% on or before 12M Nil after 12M
DSP World Agriculture Fund-Reg(G),Jay Kothari,FOF-OVR,5,10.1,2.24,Open Ended,19-Oct-11,MSCI ACWI Net TRI,18.68,19.18,17.4,-0.53,5.69,2.83,7.44,2.26,-5.96,2.92,7.16,33,49,203832,86.4,30.68,8.75,Financials,9.88,9.46,7.39,-1.18,0.37,0.65,1.47,11.79,FoFs : Overseas,Nil
DSP World Gold FoF-Reg(G),Jay Kothari,FOF-OVR,3,1045,2.35,Open Ended,14-Sep-07,FTSE Gold Mines,19.95,24.53,14.3,-7.7,-10.9,5.36,15.94,11.33,4.62,6.49,7.04,22,12,201451,19.19,16.37,2.12,Technology,22.09,3.68,6.99,9.98,0.57,0.99,1.96,27.32,FoFs : Overseas,Nil
DSP World Mining FoF-Reg(G),Jay Kothari,FOF-OVR,4,137.4,2.18,Open Ended,29-Dec-09,MSCI ACWI Metals & Mining 30% Buffer 10/40 (1994) Net TRI,14.99,17.89,14.2,-8.78,-15.37,-6.78,-8.07,-4.1,1.03,10.41,7.67,51,69,555837,50.79,61.44,15.66,Financials,8.96,0.15,7.07,-14.36,-0.48,-0.79,1.14,22.27,FoFs : Overseas,Nil
Edelweiss Aggressive Hybrid Fund-Reg(G),Bharat Lahoti,HY-MULTI,2,2267.4,1.96,Open Ended,11-Aug-09,CRISIL Hybrid 35+65 - Aggressive Index,62.36,64.44,50.97,1.5,-3.6,3.88,20.63,23.43,17.23,18.05,12.46,104,78,250843,55.21,12.22,5.53,Financials,3.55,2.74,7.18,10.23,1.37,1.97,1.87,11.49,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 90D Nil after 90D
Edelweiss Arbitrage Fund-Reg(G),Bhavesh Jain,HY-ARB,4,12199.2,1.08,Open Ended,27-Jun-14,Nifty 50 Arbitrage,18.75,18.75,17.43,0.7,1.87,3.49,7.62,7.41,6.39,5.48,6.01,0,198,192233,50.64,18.08,4.37,Financials,0.43,0.41,7.18,3.73,3.43,7.57,-0.09,1.01,Hybrid : Arbitrage,0.10% on or before 30D Nil after 30D
Edelweiss ASEAN Equity Off-Shore Fund-Reg(G),Bhavesh Jain,FOF-OVR,3,94.6,2.35,Open Ended,01-Jul-11,MSCI AC ASEAN 10/40 Index,27.87,29.3,23.42,-0.39,-3.69,13.77,14.52,6.25,5.75,5.18,5.3,0,12,417377,0.86,13.27,9.52,Financials,18.83,0.75,6.88,6.9,0.99,1.66,1.3,10.94,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss Balanced Advantage Fund-Reg(G),Bhavesh Jain,HY-DYN,5,12380.6,1.69,Open Ended,20-Aug-09,NIFTY 50 Hybrid Composite Debt 50:50 Index,49.87,52.04,43.19,-0.1,-4.45,0.73,13.36,16.39,11.55,15,10.76,235,104,209927,50.54,13.65,7.18,Financials,1.41,1.13,6.98,4.33,0.94,1.34,1.64,9.66,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 90D Nil after 90D
Edelweiss Banking and PSU Debt Fund-Reg(G),Dhawal Dalal,DT-B&PSU,5,271,0.7,Open Ended,13-Sep-13,CRISIL Banking and PSU Debt Index,23.55,23.55,21.77,0.41,1.28,4.17,8.14,7.31,5.69,6.84,7.52,0,50,436985,75.71,11.74,22.84,Financials,4.6,3.66,7.16,2.65,3.58,6.52,0.48,1.14,Debt : Banking & PSU,NIL
Edelweiss BSE Capital Markets & Insurance ETF,Bhavesh Jain,EQ-ETF,5,4156.1,1.7,Open Ended,30-Dec-24,BSE Capital Markets & Insurance - TRI,21.2,21.2,20.85,-2.05,0.18,5.57,7.21,20.3,13.41,15.72,6.79,33,30,134229,17.32,17.91,12.7,Financials,0.1,6.65,6.82,30.06,1.12,2.05,1.19,17.1,Equity : ETFs,NIL
Edelweiss Business Cycle Fund-Reg(G),Bhavesh Jain,EQ-THEM,5,1846.3,2,Open Ended,29-Jul-24,NIFTY 500 - TRI,9.56,10.3,8.9,1.89,-7.95,3.81,7.21,7.71,10.2,19.26,7.16,42,59,109253,44.78,48.45,6.12,Financials,0.14,2.4,7.47,12.45,3.23,2.49,1.02,20.83,Equity : Thematic,1% on or before 90D Nil after 90D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund-Reg(G),Dhawal Dalal,DT-LD,5,1070.3,0.46,Open Ended,11-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2037,12.2,12.23,10.99,0.59,0.96,4.66,10.69,8.92,5.71,24.44,6.93,0,28,131823,49.83,5.6,34.83,Financials,11.84,7.67,7.15,2.85,2.94,5.32,1.13,2.12,Debt : Long Duration,0.10% on or before 30D Nil after 30D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,4,95.9,0.45,Open Ended,18-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - June 2027,11.76,11.76,10.91,0.53,1.46,3.85,7.86,7.41,13.28,5.08,7.56,0,50,134229,92.14,10.91,45.85,Financials,2.42,2.13,6.91,2.85,5.42,11.6,0.29,0.69,Debt : Medium to Long Duration,0.10% on or before 30D Nil after 30D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,2,156.7,0.45,Open Ended,10-Nov-22,CRISIL IBX 50:50 Gilt Plus SDL Index - Sep 2028,11.79,11.8,10.9,0.46,1.35,4.12,8.13,7.76,17.44,6.33,6,0,30,77265,53.46,3.09,14.04,Capital Goods,3.5,2.99,6.98,2.65,3.93,8.3,0.44,1.01,Debt : Medium to Long Duration,0.10% upto 30D Nil after 30D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund-Reg(G),Rahul Dedhia,DT-SD,3,152.8,0.63,Open Ended,15-Feb-23,CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index,11.46,11.46,10.64,0.51,1.35,3.86,7.75,16.05,14.88,4.85,8.61,0,30,555814,85.44,66.17,5.65,Financials,2.92,2.53,6.94,2.67,5.18,11.3,0.31,0.7,Debt : Short Duration,Nil
Edelweiss CRISIL IBX AAA Financial Services Bond - Jan 2028 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,3,132.4,0.35,Open Ended,27-Nov-24,CRISIL-IBX AAA Financial Services Index - Jan 2028,10.06,10.06,10,0.6,-6.74,6.08,13.13,10.71,20.36,29.69,12.25,0,31,610545,98.76,3.67,3.09,FMCG,2.85,2.4,7.75,9.85,0.77,0.31,0.04,0.65,Debt : Medium to Long Duration,0.10% upto 30D Nil after 30D
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund-Reg(G),Dhawal Dalal,DT-MD,1,803.7,0.4,Open Ended,10-Mar-22,CRISIL IBX 50:50 PSU + SDL Index - October 2025,11.67,11.67,10.87,0.57,1.61,3.54,7.37,7.1,6.13,24.93,7.37,0,78,86058,42.19,5.84,3.28,Financials,0.69,0.65,7.28,3.05,8.25,18.65,0.08,0.4,Debt : Medium Duration,0.10% upto 30D Nil after 30D
Edelweiss ELSS Tax saver Fund-Reg(G),Ashwani Agarwalla,EQ-ELSS,3,397.7,2.34,Open Ended,30-Dec-08,NIFTY 500 - TRI,110.7,116.83,89.8,-0.51,-5.56,0.6,20.52,24.17,15.62,17.8,12.52,24,94,199450,65.59,17.62,13.96,Financials,4.01,0.19,7.42,10.91,1.06,1.55,1,15.06,Equity : Tax Saving (ELSS),Nil
Edelweiss Emerging Markets Opp Eq. Offshore Fund-Reg(G),Bhavesh Jain,FOF-OVR,4,114.5,2.33,Open Ended,07-Jul-14,MSCI Emerging Market Index,15.04,16.13,13.29,2.15,-5.55,-2.3,5.92,5.69,-2.42,1.24,4.2,0,30,113620,46.35,62.22,21.87,Financials,3.99,2.23,7.42,-0.96,0.2,0.33,1.22,14.63,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss Equity Savings Fund-Reg(G),Bharat Lahoti,HY-EQ,2,560.9,1.59,Open Ended,13-Oct-14,NIFTY 50 Equity Savings Index,24.34,24.34,21.33,1.67,0.64,4.68,13.52,13.35,9.96,10.84,8.92,608,107,181706,44.43,15.89,6.88,Financials,3.59,2.78,7.12,6.88,2.37,3.68,0.7,3.78,Hybrid : Equity Oriented,0.25% on or before 30D Nil after 30D
Edelweiss Europe Dynamic Equity Off-shore Fund-Reg(G),Bhavesh Jain,FOF-OVR,3,74.4,2.33,Open Ended,07-Feb-14,MSCI Europe Index (Total Return Net),18.4,20.22,16.76,-1.92,-8.15,-1.98,5.37,11.14,5.1,9.03,6.61,18,42,260069,34.92,30.45,7.34,Financials,4.71,0.51,6.66,-2.04,0.17,0.25,1.37,13.66,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss Flexi Cap Fund-Reg(G),Trideep Bhattacharya,EQ-FLEX,3,2445.9,1.95,Open Ended,03-Feb-15,NIFTY 500 - TRI,38.61,40.75,29.97,-0.48,-5.76,1.36,25.89,28.28,18.47,20.49,15.53,36,79,216796,69.99,18.96,9.52,Financials,2.96,6.35,7.59,15.35,1.3,1.9,1.03,15.86,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Edelweiss Focused Fund-Reg(G),Trideep Bhattacharya,EQ-FLEX,3,916.9,2.22,Open Ended,01-Aug-22,NIFTY 500 - TRI,16.79,17.46,13.23,0.27,-4.49,1.51,23.48,27.21,19.54,19.48,16.7,45,28,257906,73.86,19.75,3.74,Financials,2.93,0.44,7.02,13.23,1.19,1.79,1.01,15.46,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Edelweiss Gold and Silver ETF FoF-Reg(G),Bhavesh Jain,FOF-DOM,4,187.3,0.71,Open Ended,14-Sep-22,Gold-India,14.72,16.02,11.49,-1.91,-1.66,1.95,17.33,13.7,6.13,15.68,6.63,0,54,336939,81.72,28.75,1.34,FMCG,7.09,6.57,7.1,16.2,0.71,1.19,-0.77,19.49,FoFs : Domestic,0.10% on or before 15D Nil after 15D
Edelweiss Gold ETF,Amit Vora,GOLD-ETF,4,97.8,0.35,Open Ended,07-Nov-23,Gold-India,78.2,80.87,63.06,-0.16,1.3,6.32,19.82,7.23,11.55,4.75,6.04,0,30,51216,34.84,24.69,81.18,Financials,4.61,2.27,7.04,15.3,1.23,1.86,0.02,12.45,Gold : ETFs,1% on or before 15D Nil after 15D
Edelweiss Government Securities Fund-Reg(G),Rahul Dedhia,DT-GILT,5,191.7,1.14,Open Ended,13-Feb-14,CRISIL Dynamic Gilt Index,23.66,23.75,21.49,0.24,0.15,3.75,9.86,7.92,6.08,7.05,7.56,0,151,96577,86.46,23.86,36.57,Financials,21.7,9.87,7.04,1.29,2.09,3.84,1.4,2.61,Debt : Gilt,NIL
Edelweiss Gr China Equity Off-Shore Fund-Reg(G),Bhavesh Jain,FOF-OVR,4,1572.2,2.36,Open Ended,26-Aug-09,MSCI Golden Dragon Index (Total Return Net),38.11,43.05,29.97,4.87,-3.97,9.05,14.76,1.46,-6.69,3.16,7.12,0,24,70391,70.39,28.46,4.37,Financials,1.61,0.17,6.66,10.51,0.6,1.07,0.92,23.22,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss Large & Mid Cap Fund-Reg(G),Sumanta Khan,EQ-L&M,4,3745.2,1.87,Open Ended,14-Jun-07,NIFTY LargeMidcap 250 - TRI,88.26,91.07,68.89,0.22,-3.83,3.31,24.77,27.82,18.5,21.47,14.9,13,96,122627,48.8,35.9,13.5,Financials,15.84,3.2,6.68,14.79,1.27,1.88,0.97,15.55,Equity : Large & Mid Cap,1% on or before 90D Nil after 90D
Edelweiss Large Cap Fund-Reg(G),Bharat Lahoti,EQ-LC,3,1100.2,2.17,Open Ended,20-May-09,NIFTY 100 - TRI,82.96,89.65,69.88,-0.61,-7.72,-0.71,15.3,21.02,14.99,16.88,12.75,106,73,332230,81.98,14.41,0.93,Financials,3.98,0.02,7.26,6.48,0.81,1.2,0.96,13.97,Equity : Large Cap,1% on or before 90D Nil after 90D
Edelweiss Liquid Fund-Reg(G),Rahul Dedhia,DT-LIQ,3,5902.9,0.22,Open Ended,16-Sep-08,CRISIL Liquid Debt Index,3227.81,3227.81,3007.51,0.59,1.74,3.54,7.34,7.09,6.28,5.23,6.16,0,251,277659,32.02,18.81,15.4,Energy,0.12,0.12,7.04,0.73,10.33,5.41,0.92,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Edelweiss Mid Cap Fund-Reg(G),Trideep Bhattacharya,EQ-MID,4,8280.4,1.73,Open Ended,26-Dec-07,Nifty Midcap 150 - TRI,102.36,103.98,72.34,1.7,-1.09,7.37,38.94,39.28,25.9,30.16,18.89,45,77,59994,14.78,66.55,16.03,Financials,0.16,0.01,7.55,26.43,1.77,2.65,0.95,17.61,Equity : Mid Cap,1% on or before 90D Nil after 90D
Edelweiss Money Market Fund-Reg(G),Pranavi Kulkarni,DT-DYN,2,1261.5,0.82,Open Ended,27-Jun-08,CRISIL Money Market Index,27.43,27.43,25.65,0.57,1.63,3.37,6.96,6.69,5.62,5.17,6.35,0,60,312212,45.43,34.97,5.04,Financials,0.52,0.52,7.38,2.85,9.84,19.71,0.03,0.3,Debt : Dynamic Bond,Nil
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,2,153.7,1.04,Open Ended,26-Oct-20,MSCI India Domestic & World Healthcare 45 Index,19.84,20.41,15.78,2.61,-1.94,11.11,28.86,26.53,14.92,21.73,7.21,0,46,107753,34.84,29.36,6.56,Healthcare,0.01,1.45,7.23,21.77,2.17,3.99,0.33,10.71,Equity : Index Funds,Nil
Edelweiss Multi Asset Allocation Fund-Reg(G),Bhavesh Jain,HY-MULTI,2,1428.2,0.71,Open Ended,23-Jun-23,CRISIL Short Term Bond Index,11.18,11.18,10.37,0.55,1.59,3.96,7.88,37.5,20.78,7.59,6.31,655,58,324462,22.53,4.54,0.03,Financials,4.22,3.28,7.26,3.65,2.05,3.56,0.08,1.9,Hybrid : Multi Asset Allocation,0.10% on or before 30D Nil after 30D
Edelweiss Multi Cap Fund-Reg(G),Trideep Bhattacharya,EQ-MLC,2,2571.7,1.92,Open Ended,25-Oct-23,Nifty500 Multicap 50:25:25 - TRI,15.42,16.01,11.75,-0.16,-4.5,3.48,28.32,2.26,14.28,33.49,16.34,31,100,112462,47.7,27,24.28,Financials,9.66,2.48,7.24,17.69,1.42,2.1,0.97,15.86,Equity : Multi Cap,1% on or before 90D Nil after 90D
Edelweiss Nifty 100 Quality 30 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,5,139.7,0.9,Open Ended,07-Oct-21,NIFTY100 Quality 30 - TRI,14.29,15.93,12.3,-2.83,-11.36,-2.26,10.41,21.61,13.19,27.13,5.92,11,30,277337,91.13,8.9,12.26,FMCG,1.58,5.65,7.94,3.18,0.55,0.89,0.76,12.81,Equity : Index Funds,Nil
Edelweiss Nifty 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,1,118.2,0.5,Open Ended,08-Oct-21,NIFTY 50 - TRI,13.67,14.81,11.97,-1.66,-7.96,-1.53,9.52,15.62,12.02,5.34,6.03,9,50,555829,98.3,1.24,0.77,Financials,17.72,3.81,7.25,1.13,0.44,0.67,0.99,13.9,Equity : Index Funds,Nil
Edelweiss Nifty Alpha Low Volatility 30 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,5,105.4,1.08,Open Ended,16-May-24,NIFTY Alpha Low-Volatility 30 - TRI,10.34,11.77,9.67,-1.79,-12.38,-3.03,11.41,28.32,6.55,5.12,6.61,38,30,256524,86.88,12.98,15.85,Automobile and Ancillaries,20.93,0.92,6.97,15.22,0.47,3.46,0.28,13.89,Equity : Index Funds,0.10% on or before 15D Nil after 15D
Edelweiss Nifty Bank ETF,Bhavesh Jain,EQ-ETF,1,11,0.07,Open Ended,10-Sep-24,NIFTY BANK - TRI,51.55,54.33,50.05,-1.93,-3.54,3.66,12.51,19.27,5.76,5.36,12.3,43.51,12,538993,86.29,13.56,10.47,Financials,0.52,2.53,6.68,7.41,1.09,1.56,1.06,0.31,Equity : ETFs,Nil
Edelweiss NIFTY Large Mid Cap 250 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,3,225.4,0.83,Open Ended,01-Dec-21,NIFTY LargeMidcap 250 - TRI,16.23,17.3,13.47,-0.16,-6.88,-0.65,17.7,24.92,17.47,23.53,6.35,14,251,158794,51.22,45.26,3.41,Financials,4.01,7.47,6.67,9.05,0.91,1.31,0.98,15.47,Equity : Index Funds,Nil
Edelweiss Nifty Midcap150 Momentum 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,1,766.6,1.11,Open Ended,30-Nov-22,Nifty Midcap150 Momentum 50 - TRI,19.04,19.97,14.43,1.13,-4.34,1.85,30.84,40.39,0.46,5.62,13.25,81,50,76844,19.44,80.45,10.79,Financials,4.82,2.81,7.01,20.61,1.24,1.79,1.08,20.96,Equity : Index Funds,0.50% on or before 30D Nil after 30D
Edelweiss Nifty Next 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,5,95.7,0.79,Open Ended,30-Nov-22,NIFTY NEXT 50 - TRI,15.72,17.7,12.15,-3.45,-11.65,-5.55,27.38,27.3,23.48,17.14,6.13,47,50,143042,88.06,11.74,5.53,Financials,7.63,0.41,7.19,16.96,1.13,1.64,1.14,20.1,Equity : Index Funds,Nil
