Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ICICI Pru Nifty Metal ETF,Nishit Patel,EQ-ETF,3,112.3,0.4,Open Ended,14-Aug-24,NIFTY METAL - TRI,8.74,10.22,8.62,-4.17,-15.31,-1.56,14.76,7.13,9.7,16.59,2.69,18,15,133461,72.06,23.47,4.41,Metals,1.66,2.23,7.61,0.68,0.61,1.51,0.86,0.62,Equity : ETFs,0.25% on or before 15D Nil after 15D
ICICI Pru Nifty Midcap 150 ETF,Nishit Patel,EQ-ETF,2,424.9,0.15,Open Ended,24-Jan-20,Nifty Midcap 150 - TRI,22.03,194.12,18.91,1.61,-5.02,1.22,24.18,34.39,23.48,4.75,7.54,31,151,58754,6.44,86.73,6.77,Financials,1.85,8.48,7.02,15.55,1.14,1.64,0.96,17.54,Equity : ETFs,1% on or before 3M Nil after 3M
ICICI Pru Nifty Midcap 150 Index Fund-Reg(G),Nishit Patel,EQ-INDX,4,585,0.95,Open Ended,22-Dec-21,Nifty Midcap 150 - TRI,18.71,19.65,14.83,1.52,-5.26,0.72,22.99,33,22.15,12.29,11.23,31,151,58761,6.41,86.31,6.74,Financials,23.46,12.13,7.38,14.26,1.09,1.57,0.95,17.49,Equity : Index Funds,Nil
ICICI Pru Nifty Next 50 ETF,Nishit Patel,EQ-ETF,1,1188.3,0.1,Open Ended,23-Aug-18,NIFTY NEXT 50 - TRI,71.95,80.86,55.16,-3.41,-11.52,-5.14,28.54,28.53,18.56,20.08,14.2,45,50,143042,88.22,11.76,1.37,Financials,0.01,2.88,6.99,18.24,1.17,1.69,1.14,20.15,Equity : ETFs,Nil
ICICI Pru Nifty Next 50 Index Fund(G),Nishit Patel,EQ-INDX,4,7010.4,0.66,Open Ended,25-Jun-10,NIFTY NEXT 50 - TRI,60.63,68.42,46.84,-3.69,-11.88,-5.68,27.51,27.65,17.74,19.1,13.77,40,50,143044,88.15,11.75,14.1,Financials,4.71,2.5,8.16,17.09,1.13,1.64,1.14,20.16,Equity : Index Funds,Nil
ICICI Pru Nifty Oil & Gas ETF,Nishit Patel,EQ-ETF,3,144.5,0.4,Open Ended,19-Jul-24,NIFTY OIL & GAS - TRI,10.96,13.54,10.5,-3.02,-16.84,2.47,25.36,21.69,6.38,5.18,14.92,3,15,282620,73.76,20.32,5.92,Energy,1.19,2.77,7.42,8.32,11.57,0.32,0.87,1.89,Equity : ETFs,Nil
ICICI Pru Nifty Pharma Index Fund-Reg(G),Nishit Patel,EQ-PHRM,3,81.3,0.93,Open Ended,14-Dec-22,NIFTY PHARMA - TRI,17.89,18.11,13.13,5.38,0.39,18.44,38.04,35.52,13.28,6.18,9.15,118,20,120906,62.24,29.09,8.94,Healthcare,4.7,4.86,7.12,27.67,2.05,3.85,0.46,14.64,Equity : Sectoral - Pharma,Nil
ICICI Pru Nifty Private Bank ETF,Nishit Patel,EQ-ETF,3,3125.9,0.15,Open Ended,09-Aug-19,Nifty Private Bank - TRI,25.32,248.18,23.09,-1.74,-5.99,-4.83,0.71,7.72,12.41,7.12,7.77,64,10,417377,83.31,13.6,3.08,Financials,2.36,3.56,3.14,-6.88,-0.12,-0.18,1.04,17.12,Equity : ETFs,Nil for 10% of investment and 1% for remaining investments on or before 3M Nil after 3M
ICICI Pru Nifty PSU Bank ETF,Nishit Patel,EQ-ETF,2,85.1,0.4,Open Ended,15-Mar-23,NIFTY PSU BANK - TRI,66.54,80.73,56.93,-3.96,-3.29,-10.6,14.14,7.28,13.02,24.29,11.34,111,12,188008,62.22,37.78,25.56,Financials,0.5,3.64,7.34,7.76,0.49,0.72,1.49,29.97,Equity : ETFs,3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund-Reg(G),Darshil Dedhia,DT-M&LD,2,8651.7,0.39,Open Ended,28-Sep-21,Nifty PSU Bond Plus SDL Sep 2027 40:60 Index,11.84,11.84,10.95,0.57,1.51,3.93,8.15,7.34,5.5,15.52,13.78,0,30,140082,64.97,6.91,70.97,Financials,2.63,2.29,7.21,3.18,5.41,12.17,0.27,0.74,Debt : Medium to Long Duration,Nil
